Designator,Footprint,Quantity,Value,LCSC Part #
CONN1,conn_molex_pico_front,1,,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",diode_mask,36,,
"H1, H2_2, H2, H3, H4, H5_2, H5, H6",mounting_hole,8,,
J1,nice!view,1,nice!view,
"RSW1_2, RSW1",Panasonic_EVQPUL_EVQPUC,2,EVQPUC02K,C79174
